interval,id,ts_send,ts_start,ts_end,e2e
20.0,40.5,1.6795856533452244e+18,0.0,1.679585653354062e+18,8.837463987804878
21.0,124.0,1.6795856574230979e+18,0.0,1.6795856574319537e+18,8.855754952941178
22.0,211.0,1.67958566149949e+18,0.0,1.6795856615083835e+18,8.893628550561798
23.0,302.0,1.6795856655792696e+18,0.0,1.6795856655881574e+18,8.88790358064516
24.0,397.0,1.6795856696548872e+18,0.0,1.6795856696637504e+18,8.86330824742268
25.0,470.5,1.6795856726871311e+18,0.0,1.6795856726960504e+18,8.919286640000001
26.0,547.5,1.6795856757301443e+18,0.0,1.6795856757388462e+18,8.70172910576923
27.0,626.0,1.6795856787425285e+18,0.0,1.6795856787514793e+18,8.95077562264151
28.0,680.5,1.679585680758839e+18,0.0,1.679585680767797e+18,8.958124553571428
29.0,766.0,1.6795856838196357e+18,0.0,1.6795856838285412e+18,8.905377147826087
30.0,853.5,1.6795856868156774e+18,0.0,1.679585686824593e+18,8.915507999999999
31.0,914.5,1.6795856888239007e+18,0.0,1.6795856888326815e+18,8.780843806451614
32.0,977.5,1.6795856908360105e+18,0.0,1.6795856908448945e+18,8.883810328125
33.0,1042.5,1.6795856928406866e+18,0.0,1.6795856928494144e+18,8.727868075757577
34.0,1110.0,1.679585694854927e+18,0.0,1.6795856948634424e+18,8.515429913043478
36.0,1180.0,1.679585696869053e+18,0.0,1.679585696877557e+18,8.5038481971831
37.0,1252.0,1.6795856988700547e+18,0.0,1.6795856988785812e+18,8.526549095890411
38.0,1326.5,1.6795857008719839e+18,0.0,1.6795857008805281e+18,8.544575802631579
40.0,1404.0,1.6795857028776648e+18,0.0,1.679585702886164e+18,8.499297721518987
42.0,1485.0,1.6795857048909763e+18,0.0,1.6795857048994578e+18,8.481473180722892
43.0,1569.5,1.679585706905989e+18,0.0,1.679585706914526e+18,8.537107662790698
45.0,1657.5,1.679585708914532e+18,0.0,1.679585708923056e+18,8.524029488888889
48.0,1749.5,1.6795857109216655e+18,0.0,1.6795857109301985e+18,8.532932840425532
50.0,1846.0,1.679585712926554e+18,0.0,1.679585712935086e+18,8.53188913131313
53.0,1947.5,1.6795857149320804e+18,0.0,1.6795857149405734e+18,8.493478740384615
56.0,2054.5,1.6795857169455547e+18,0.0,1.6795857169540984e+18,8.544006472727274
59.0,2167.5,1.679585718952036e+18,0.0,1.6795857189608753e+18,8.839132870689655
62.0,2287.5,1.6795857209620608e+18,0.0,1.6795857209708447e+18,8.783945475806451
67.0,2415.0,1.6795857229703603e+18,0.0,1.6795857229791437e+18,8.78332996946565
71.0,2550.5,1.6795857249753585e+18,0.0,1.6795857249841288e+18,8.770389214285714
77.0,2695.5,1.6795857269832138e+18,0.0,1.679585726992042e+18,8.82799748
83.0,2852.5,1.67958572898873e+18,0.0,1.6795857289975286e+18,8.79835812804878
91.0,3022.5,1.6795857309983892e+18,0.0,1.6795857310071514e+18,8.761905357954545
100.0,3209.0,1.6795857329990118e+18,0.0,1.6795857330092516e+18,10.240078446700508
